Alias	Name
MI0000060	hsa-let-7a-1
MI0000061	hsa-let-7a-2
MI0000062	hsa-let-7a-3
MI0000063	hsa-let-7b
MI0000064	hsa-let-7c
MI0000065	hsa-let-7d
MI0000066	hsa-let-7e
MI0000067	hsa-let-7f-1
MI0000068	hsa-let-7f-2
MI0000069	hsa-mir-15a
MI0000070	hsa-mir-16-1
MI0000071	hsa-mir-17
MI0000072	hsa-mir-18a
MI0000073	hsa-mir-19a
MI0000074	hsa-mir-19b-1
MI0000075	hsa-mir-19b-2
MI0000076	hsa-mir-20a
MI0000077	hsa-mir-21
MI0000078	hsa-mir-22
MI0000079	hsa-mir-23a
MI0000080	hsa-mir-24-1
MI0000081	hsa-mir-24-2
MI0000082	hsa-mir-25
MI0000083	hsa-mir-26a-1
MI0000084	hsa-mir-26b
MI0000085	hsa-mir-27a
MI0000086	hsa-mir-28
MI0000087	hsa-mir-29a
MI0000088	hsa-mir-30a
MI0000089	hsa-mir-31
MI0000090	hsa-mir-32
MI0000091	hsa-mir-33a
MI0000093	hsa-mir-92a-1
MI0000094	hsa-mir-92a-2
MI0000095	hsa-mir-93
MI0000097	hsa-mir-95
MI0000098	hsa-mir-96
MI0000100	hsa-mir-98
MI0000101	hsa-mir-99a
MI0000102	hsa-mir-100
MI0000103	hsa-mir-101-1
MI0000105	hsa-mir-29b-1
MI0000107	hsa-mir-29b-2
MI0000108	hsa-mir-103a-2
MI0000109	hsa-mir-103a-1
MI0000111	hsa-mir-105-1
MI0000112	hsa-mir-105-2
MI0000113	hsa-mir-106a
MI0000114	hsa-mir-107
MI0000115	hsa-mir-16-2
MI0000234	hsa-mir-192
MI0000238	hsa-mir-196a-1
MI0000239	hsa-mir-197
MI0000240	hsa-mir-198
MI0000242	hsa-mir-199a-1
MI0000251	hsa-mir-208a
MI0000252	hsa-mir-129-1
MI0000253	hsa-mir-148a
MI0000254	hsa-mir-30c-2
MI0000255	hsa-mir-30d
MI0000261	hsa-mir-139
MI0000262	hsa-mir-147a
MI0000263	hsa-mir-7-1
MI0000264	hsa-mir-7-2
MI0000265	hsa-mir-7-3
MI0000266	hsa-mir-10a
MI0000267	hsa-mir-10b
MI0000268	hsa-mir-34a
MI0000269	hsa-mir-181a-2
MI0000270	hsa-mir-181b-1
MI0000271	hsa-mir-181c
MI0000272	hsa-mir-182
MI0000273	hsa-mir-183
MI0000274	hsa-mir-187
MI0000279	hsa-mir-196a-2
MI0000281	hsa-mir-199a-2
MI0000282	hsa-mir-199b
MI0000283	hsa-mir-203a
MI0000284	hsa-mir-204
MI0000285	hsa-mir-205
MI0000286	hsa-mir-210
MI0000287	hsa-mir-211
MI0000288	hsa-mir-212
MI0000289	hsa-mir-181a-1
MI0000290	hsa-mir-214
MI0000291	hsa-mir-215
MI0000292	hsa-mir-216a
MI0000293	hsa-mir-217
MI0000294	hsa-mir-218-1
MI0000295	hsa-mir-218-2
MI0000296	hsa-mir-219a-1
MI0000298	hsa-mir-221
MI0000299	hsa-mir-222
MI0000300	hsa-mir-223
MI0000301	hsa-mir-224
MI0000342	hsa-mir-200b
MI0000433	hsa-let-7g
MI0000434	hsa-let-7i
MI0000437	hsa-mir-1-2
MI0000438	hsa-mir-15b
MI0000439	hsa-mir-23b
MI0000440	hsa-mir-27b
MI0000441	hsa-mir-30b
MI0000442	hsa-mir-122
MI0000443	hsa-mir-124-1
MI0000444	hsa-mir-124-2
MI0000445	hsa-mir-124-3
MI0000446	hsa-mir-125b-1
MI0000447	hsa-mir-128-1
MI0000448	hsa-mir-130a
MI0000449	hsa-mir-132
MI0000450	hsa-mir-133a-1
MI0000451	hsa-mir-133a-2
MI0000452	hsa-mir-135a-1
MI0000453	hsa-mir-135a-2
MI0000454	hsa-mir-137
MI0000455	hsa-mir-138-2
MI0000456	hsa-mir-140
MI0000457	hsa-mir-141
MI0000458	hsa-mir-142
MI0000459	hsa-mir-143
MI0000460	hsa-mir-144
MI0000461	hsa-mir-145
MI0000462	hsa-mir-152
MI0000463	hsa-mir-153-1
MI0000464	hsa-mir-153-2
MI0000465	hsa-mir-191
MI0000466	hsa-mir-9-1
MI0000467	hsa-mir-9-2
MI0000468	hsa-mir-9-3
MI0000469	hsa-mir-125a
MI0000470	hsa-mir-125b-2
MI0000471	hsa-mir-126
MI0000472	hsa-mir-127
MI0000473	hsa-mir-129-2
MI0000474	hsa-mir-134
MI0000475	hsa-mir-136
MI0000476	hsa-mir-138-1
MI0000477	hsa-mir-146a
MI0000478	hsa-mir-149
MI0000479	hsa-mir-150
MI0000480	hsa-mir-154
MI0000481	hsa-mir-184
MI0000482	hsa-mir-185
MI0000483	hsa-mir-186
MI0000484	hsa-mir-188
MI0000486	hsa-mir-190a
MI0000487	hsa-mir-193a
MI0000488	hsa-mir-194-1
MI0000489	hsa-mir-195
MI0000490	hsa-mir-206
MI0000542	hsa-mir-320a
MI0000650	hsa-mir-200c
MI0000651	hsa-mir-1-1
MI0000681	hsa-mir-155
MI0000683	hsa-mir-181b-2
MI0000727	hsa-mir-128-2
MI0000732	hsa-mir-194-2
MI0000734	hsa-mir-106b
MI0000735	hsa-mir-29c
MI0000736	hsa-mir-30c-1
MI0000737	hsa-mir-200a
MI0000738	hsa-mir-302a
MI0000739	hsa-mir-101-2
MI0000740	hsa-mir-219a-2
MI0000742	hsa-mir-34b
MI0000743	hsa-mir-34c
MI0000744	hsa-mir-299
MI0000745	hsa-mir-301a
MI0000746	hsa-mir-99b
MI0000747	hsa-mir-296
MI0000748	hsa-mir-130b
MI0000749	hsa-mir-30e
MI0000750	hsa-mir-26a-2
MI0000760	hsa-mir-361
MI0000762	hsa-mir-362
MI0000764	hsa-mir-363
